
TABLESPACE           DATA_FILE                                          FILESYSTEM                  SIZE_MB                                                                                                                                                                                                 
-------------------- -------------------------------------------------- ------------------------- ---------                                                                                                                                                                                                 
** Script Output **  /swp/c1/prod/files/areafcp                         /dev/vg07/lvol5            61440000                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbd_1_16.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_01.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_02.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_03.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_04.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_05.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_06.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_07.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_08.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_09.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_10.dbf             /dev/vg03/lvol1             1048.58                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_11.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_12.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_13.dbf             /dev/vg03/lvol1             1048.58                                                                                                                                                                                                 
DATA_TBS_1           /cl01/oradata/CL2PRP/data_tbs_1_14.dbf             /dev/vg03/lvol1             2097.15                                                                                                                                                                                                 
