
TABLESPACE           DATA_FILE                                          FILESYSTEM                  SIZE_MB                                                                                                                                                                                                 
-------------------- -------------------------------------------------- ------------------------- ---------                                                                                                                                                                                                 
** Script Output **  /swp/c1/prod/files/areafcp                         /dev/vg07/lvol5            61440000                                                                                                                                                                                                 
CUSTPRO_DATA         /ps02/oradata/PSOLP/custpro_data01.dbf             /dev/vg04/lvol2             1048.58                                                                                                                                                                                                 
CUSTPRO_DATA         /ps02/oradata/PSOLP/custpro_data02.dbf             /dev/vg04/lvol2             2097.15                                                                                                                                                                                                 
CUSTPRO_DATA         /ps02/oradata/PSOLP/custpro_data03.dbf             /dev/vg04/lvol2             1048.58                                                                                                                                                                                                 
CUSTPRO_DATA         /ps02/oradata/PSOLP/custpro_data04.dbf             /dev/vg04/lvol2             1048.58                                                                                                                                                                                                 
CUSTPRO_DATA         /ps02/oradata/PSOLP/custpro_data05.dbf             /dev/vg04/lvol2             2097.15                                                                                                                                                                                                 
CUSTPRO_DATA         /ps02/oradata/PSOLP/custpro_data06.dbf             /dev/vg04/lvol2             1572.86                                                                                                                                                                                                 
CUSTPRO_DATA         /ps07/oradata/PSOLP/custpro_data07.dbf             /dev/vg11/lvol1             2097.15                                                                                                                                                                                                 
CUSTPRO_DATA         /ps08/oradata/PSOLP/custpro_data08.dbf             /dev/vg11/lvol2             2097.15                                                                                                                                                                                                 
CUSTPRO_DATA         /ps10/oradata/PSOLP/custpro_data08.dbf             /dev/vgoraps_ps10/lvol1     2097.15                                                                                                                                                                                                 
CUSTPRO_DATA         /ps10/oradata/PSOLP/custpro_data09.dbf             /dev/vgoraps_ps10/lvol1     2097.15                                                                                                                                                                                                 
CUSTPRO_DATA         /ps10/oradata/PSOLP/custpro_data10.dbf             /dev/vgoraps_ps10/lvol1     2097.15                                                                                                                                                                                                 
CUSTPRO_DATA         /ps10/oradata/PSOLP/custpro_data11.dbf             /dev/vgoraps_ps10/lvol1     2097.15                                                                                                                                                                                                 
CUSTPRO_DATA         /ps11/oradata/PSOLP/custpro_data15.dbf             /dev/vgoraps_ps12/lvol1     1048.58                                                                                                                                                                                                 
CUSTPRO_DATA         /ps12/oradata/PSOLP/custpro_data12.dbf             /dev/vgoraps_ps12/lvol2     2097.15                                                                                                                                                                                                 
CUSTPRO_DATA         /ps12/oradata/PSOLP/custpro_data13.dbf             /dev/vgoraps_ps12/lvol2     2097.15                                                                                                                                                                                                 
