dropping objects

Type dropped.


Type dropped.

recreating the CIS_REPORT_RECORD object (record)

Type created.

No errors.
recreating the CIS_REPORT object (array)

Type created.

No errors.
running the sample PL/SQL
Start: 13:57:16                                                                                     
After firt select: 13:57:18   Record count: 1873                                                    
868584 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
868592 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
868880 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869029 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869064 - EPLUSGAS -  - 13-JUL-12 - 6c8f561d-b4d6-457a-82e1-11edfe862075 -                           
869066 - EPLUSGAS -  - 13-JUL-12 - 6c8f561d-b4d6-457a-82e1-11edfe862075 -                           
869071 - EPLUSGAS -  - 13-JUL-12 - 6c8f561d-b4d6-457a-82e1-11edfe862075 -                           
869078 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869098 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869124 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869143 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869146 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
869164 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
869186 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
869189 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869210 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
869212 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869231 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869233 - TESI -  - 13-JUL-12 - b10cebfd-62b9-421d-be0c-23a7d71709b7 -                               
869240 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869260 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869289 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869328 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869342 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869355 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869367 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869373 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869396 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869407 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869458 - XOOM -  - 13-JUL-12 - 8c56b068-7091-409f-9263-607337a735bf -                               
869483 - TESI -  - 13-JUL-12 - 3d4cb44a-d889-493e-997d-3215ff396a0c -                               
869486 - XOOM -  - 13-JUL-12 - 8c56b068-7091-409f-9263-607337a735bf -                               
869559 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
869564 - TESI -  - 13-JUL-12 - b02fd531-5141-4b52-8b02-2abe74862fc6 -                               
